aircraft,pos_ci95,vel_ci95,reception_prob,max_range_m,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
fixedwing,30,3,1,500,300,1,0.003333333333,1,95.87948134,0
fixedwing,30,3,1,1000,300,0,0,1,106.7069851,0
fixedwing,30,3,1,3000,300,0,0,1,110.5854151,0
fixedwing,92.6,1,0.5,500,300,26,0.08666666667,1,114.3119996,0
fixedwing,92.6,1,0.5,1000,300,5,0.01666666667,1,153.4232382,0
fixedwing,92.6,1,0.5,3000,300,4,0.01333333333,1,179.5723455,0
fixedwing,92.6,1,0.8,500,300,17,0.05666666667,1,118.3994631,0
fixedwing,92.6,1,0.8,1000,300,5,0.01666666667,1,154.3521194,0
fixedwing,92.6,1,0.8,3000,300,1,0.003333333333,1,176.3038134,0
fixedwing,92.6,1,1,500,300,10,0.03333333333,1,117.8167755,0
fixedwing,92.6,1,1,1000,300,3,0.01,1,157.3004879,0
fixedwing,92.6,1,1,3000,300,1,0.003333333333,1,175.4932686,0
fixedwing,92.6,3,0.5,500,300,47,0.1566666667,1,108.2600288,0
fixedwing,92.6,3,0.5,1000,300,35,0.1166666667,1,136.8613706,0
fixedwing,92.6,3,0.5,3000,300,17,0.05666666667,1,142.5900511,0
fixedwing,92.6,3,0.8,500,300,39,0.13,1,107.9873772,0
fixedwing,92.6,3,0.8,1000,300,12,0.04,1,134.0474597,0
fixedwing,92.6,3,0.8,3000,300,12,0.04,1,146.5480077,0
fixedwing,92.6,3,1,500,300,29,0.09666666667,1,114.0575861,0
fixedwing,92.6,3,1,1000,300,16,0.05333333333,1,137.9864506,0
fixedwing,92.6,3,1,3000,300,16,0.05333333333,1,148.1462094,0
