dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
46,3,3,pastcpa,10000,18,0.0018,1,94.5313874,0
46,3,3,ftr,10000,2799,0.2799,1,51.24564366,0
46,3,3,probabilistic_ftr,10000,28,0.0028,1,69.60602918,0
46,10,1,pastcpa,10000,0,0,1,100.4158334,0
46,10,1,ftr,10000,557,0.0557,1,54.11095101,0
46,10,1,probabilistic_ftr,10000,1,0.0001,1,67.72753802,0
46,10,3,pastcpa,10000,14,0.0014,1,95.27047949,0
46,10,3,ftr,10000,2172,0.2172,1,52.9131079,2
46,10,3,probabilistic_ftr,10000,18,0.0018,1,72.33551181,0
48,3,1,pastcpa,10000,0,0,1,100.2422898,0
48,3,1,ftr,10000,660,0.066,1,51.79561993,0
48,3,1,probabilistic_ftr,10000,1,0.0001,1,64.80945607,0
48,3,3,pastcpa,10000,23,0.0023,1,95.5625629,0
48,3,3,ftr,10000,2597,0.2597,1,51.2796969,0
48,3,3,probabilistic_ftr,10000,31,0.0031,1,69.97304762,0
48,10,1,pastcpa,10000,0,0,1,100.976686,0
48,10,1,ftr,10000,580,0.058,1,54.12530125,0
48,10,1,probabilistic_ftr,10000,0,0,1,67.788615,0
48,10,3,pastcpa,10000,17,0.0017,1,96.14525587,0
48,10,3,ftr,10000,2070,0.207,1,52.99258147,0
48,10,3,probabilistic_ftr,10000,24,0.0024,1,72.34691058,0
50,3,1,pastcpa,10000,0,0,1,100.3168881,0
50,3,1,ftr,10000,664,0.0664,1,51.80839586,0
50,3,1,probabilistic_ftr,10000,0,0,1,65.06691272,0
50,3,3,pastcpa,10000,18,0.0018,1,95.52348195,0
50,3,3,ftr,10000,2607,0.2607,1,51.29752207,0
50,3,3,probabilistic_ftr,10000,29,0.0029,1,69.68816075,0
50,10,1,pastcpa,10000,1,0.0001,1,101.5467005,0
50,10,1,ftr,10000,578,0.0578,1,54.1484396,0
50,10,1,probabilistic_ftr,10000,0,0,1,67.62353034,0
50,10,3,pastcpa,10000,15,0.0015,1,96.41206472,0
50,10,3,ftr,10000,1992,0.1992,1,52.97996474,0
50,10,3,probabilistic_ftr,10000,16,0.0016,1,72.16812439,0
52,3,1,pastcpa,10000,0,0,1,100.6303022,0
52,3,1,ftr,10000,649,0.0649,1,51.86898555,0
52,3,1,probabilistic_ftr,10000,0,0,1,65.11389646,0
52,3,3,pastcpa,10000,23,0.0023,1,95.25377397,0
52,3,3,ftr,10000,2615,0.2615,1,51.30348318,0
52,3,3,probabilistic_ftr,10000,18,0.0018,1,69.68304237,0
52,10,1,pastcpa,10000,1,0.0001,1,101.5164906,0
52,10,1,ftr,10000,475,0.0475,1,54.24177926,0
52,10,1,probabilistic_ftr,10000,0,0,1,67.81887491,0
52,10,3,pastcpa,10000,14,0.0014,1,96.35537199,0
52,10,3,ftr,10000,2054,0.2054,1,53.07429648,0
52,10,3,probabilistic_ftr,10000,26,0.0026,1,72.58064972,0
54,3,1,pastcpa,10000,0,0,1,101.0204487,0
54,3,1,ftr,10000,641,0.0641,1,51.86005269,0
54,3,1,probabilistic_ftr,10000,0,0,1,65.05941001,0
54,3,3,pastcpa,10000,21,0.0021,1,95.09060482,0
54,3,3,ftr,10000,2653,0.2653,1,51.30539201,0
54,3,3,probabilistic_ftr,10000,28,0.0028,1,69.70056248,0
54,10,1,pastcpa,10000,0,0,1,102.0732031,0
54,10,1,ftr,10000,467,0.0467,1,54.25719,0
54,10,1,probabilistic_ftr,10000,0,0,1,67.85247201,0
54,10,3,pastcpa,10000,12,0.0012,1,95.92222971,0
54,10,3,ftr,10000,2111,0.2111,1,52.91228629,0
54,10,3,probabilistic_ftr,10000,23,0.0023,1,72.5306495,0
56,3,1,pastcpa,10000,0,0,1,101.1068582,0
56,3,1,ftr,10000,682,0.0682,1,51.85994357,0
56,3,1,probabilistic_ftr,10000,0,0,1,65.08700274,0
56,3,3,pastcpa,10000,12,0.0012,1,96.33673712,0
56,3,3,ftr,10000,2643,0.2643,1,51.27983072,0
56,3,3,probabilistic_ftr,10000,26,0.0026,1,69.79572127,0
56,10,1,pastcpa,10000,0,0,1,102.1414755,0
56,10,1,ftr,10000,464,0.0464,1,54.28509256,0
56,10,1,probabilistic_ftr,10000,0,0,1,67.97363062,0
56,10,3,pastcpa,10000,14,0.0014,1,96.02436919,0
56,10,3,ftr,10000,2084,0.2084,1,52.99850653,0
56,10,3,probabilistic_ftr,10000,29,0.0029,1,72.39200564,0
58,3,1,pastcpa,10000,0,0,1,101.6577446,0
58,3,1,ftr,10000,655,0.0655,1,51.84792145,0
58,3,1,probabilistic_ftr,10000,0,0,1,65.05084848,0
58,3,3,pastcpa,10000,12,0.0012,1,96.12004347,0
58,3,3,ftr,10000,2546,0.2546,1,51.34510682,0
58,3,3,probabilistic_ftr,10000,32,0.0032,1,69.7076917,0
58,10,1,pastcpa,10000,0,0,1,102.549714,0
58,10,1,ftr,10000,448,0.0448,1,54.35249045,0
58,10,1,probabilistic_ftr,10000,0,0,1,68.01678812,0
58,10,3,pastcpa,10000,10,0.001,1,96.15664254,0
58,10,3,ftr,10000,2030,0.203,1,53.05590849,0
58,10,3,probabilistic_ftr,10000,20,0.002,1,72.30206705,0
60,3,1,pastcpa,10000,0,0,1,101.7478978,0
60,3,1,ftr,10000,666,0.0666,1,51.87046828,0
60,3,1,probabilistic_ftr,10000,1,0.0001,1,64.86003403,0
60,3,3,pastcpa,10000,12,0.0012,1,96.40414414,0
60,3,3,ftr,10000,2541,0.2541,1,51.37787749,0
60,3,3,probabilistic_ftr,10000,23,0.0023,1,69.81546353,0
60,10,1,pastcpa,10000,0,0,1,102.4880218,0
60,10,1,ftr,10000,463,0.0463,1,54.32684355,0
60,10,1,probabilistic_ftr,10000,0,0,1,67.8262435,0
60,10,3,pastcpa,10000,13,0.0013,1,96.78143697,0
60,10,3,ftr,10000,1992,0.1992,1,53.06275827,0
60,10,3,probabilistic_ftr,10000,26,0.0026,1,72.30509809,0
62,3,1,pastcpa,10000,0,0,1,101.8742583,0
62,3,1,ftr,10000,635,0.0635,1,51.88153068,0
62,3,1,probabilistic_ftr,10000,2,0.0002,1,64.82435966,0
62,3,3,pastcpa,10000,8,0.0008,1,96.52588878,0
62,3,3,ftr,10000,2454,0.2454,1,51.37687525,0
62,3,3,probabilistic_ftr,10000,36,0.0036,1,69.72593318,0
62,10,1,pastcpa,10000,0,0,1,102.5980899,0
62,10,1,ftr,10000,435,0.0435,1,54.38052888,0
62,10,1,probabilistic_ftr,10000,1,0.0001,1,67.84193075,0
62,10,3,pastcpa,10000,9,0.0009,1,97.66309985,0
62,10,3,ftr,10000,1920,0.192,1,53.21028638,0
